Number of teeth,Comb spacing (Hz),Mean concentration (VMR),Standard deviation (VMR)
5,1000000000.0,0.008118531250000026,0.0015218513420581644
5,1100000000.0,0.008479265625000027,0.0014387855767247013
5,1200000000.0,0.007970718750000027,0.0015506988937514755
5,1300000000.0,0.008278750000000027,0.001380888514102033
5,1400000000.0,0.008655304687500026,0.0006965584456108906
5,1500000000.0,0.00885082812500003,0.0008205821120921131
5,1600000000.0,0.008879328125000028,0.0007775362153379832
5,1700000000.0,0.008766578125000028,0.0010174894999794189
5,1800000000.0,0.00907967187500003,0.000766652188654768
5,1900000000.0,0.008935507812500031,0.0011732676952238023
5,2000000000.0,0.00903296093750003,0.0009908021498187501
5,2100000000.0,0.00914619531250003,0.0013056479607271966
5,2200000000.0,0.008427351562500027,0.0013634225145963083
5,2300000000.0,0.008553406250000029,0.0013969829923649918
5,2400000000.0,0.008159531250000025,0.001660422555846814
5,2500000000.0,0.007942726562500026,0.0019770452989126648
5,2600000000.0,0.007925281250000023,0.0019076125334136248
5,2700000000.0,0.007906195312500025,0.001968696081401424
5,2800000000.0,0.008056710937500025,0.0019941535369164577
5,2900000000.0,0.007751765625000025,0.0021326659794566227
5,3000000000.0,0.00686341406250002,0.0023941718328724586
6,800000000.0,0.007545632812500025,0.0014841094256464033
6,900000000.0,0.008017710937500026,0.001343867387019291
6,1000000000.0,0.008137039062500026,0.0013873472171609998
6,1100000000.0,0.008496156250000027,0.001281376602357919
6,1200000000.0,0.007745312500000023,0.0015924786749210002
6,1300000000.0,0.007837226562500027,0.0014549021238985551
6,1400000000.0,0.008709828125000027,0.0006394431665382201
6,1500000000.0,0.008688273437500027,0.0006932693867220173
6,1600000000.0,0.00884017187500003,0.0009853233600089389
6,1700000000.0,0.009018273437500028,0.0009133433595687158
6,1800000000.0,0.008998750000000031,0.0008333295621659499
6,1900000000.0,0.00904182812500003,0.0010455361565896884
6,2000000000.0,0.008996195312500031,0.0007864723861318686
6,2100000000.0,0.00894071875000003,0.0010117028731862381
6,2200000000.0,0.00874049218750003,0.0011664523865572017
6,2300000000.0,0.008008429687500027,0.0014346695269469932
6,2400000000.0,0.008260695312500028,0.0016499907399975487
6,2500000000.0,0.008211375000000028,0.0017856936599450629
6,2600000000.0,0.007714109375000025,0.0017788937877665214
6,2700000000.0,0.0076809687500000254,0.0019492894260734067
6,2800000000.0,0.007579171875000024,0.0021015497856841318
6,2900000000.0,0.007489445312500025,0.0021870720605268244
6,3000000000.0,0.007671320312500025,0.0023165761222888686
7,700000000.0,0.007316515625000024,0.0013209713501288894
7,800000000.0,0.007715070312500025,0.0015322646841178721
7,900000000.0,0.007877648437500025,0.0014610877842781095
7,1000000000.0,0.008144210937500026,0.001346925422739285
7,1100000000.0,0.008348234375000025,0.0013439617457622368
7,1200000000.0,0.007927156250000024,0.0016822314968761146
7,1300000000.0,0.008291968750000026,0.0011705890500603123
7,1400000000.0,0.008590648437500025,0.0006071821367232119
7,1500000000.0,0.008756468750000029,0.0006620733266366759
7,1600000000.0,0.008786101562500028,0.0006440203021622625
7,1700000000.0,0.00885667187500003,0.0008992885942955604
7,1800000000.0,0.00911595312500003,0.0007088810503221708
7,1900000000.0,0.008876210937500028,0.0007817985915699563
7,2000000000.0,0.00899049218750003,0.0008551320902554611
7,2100000000.0,0.008678070312500029,0.0013116893481247382
7,2200000000.0,0.008704765625000029,0.0014394828185539854
7,2300000000.0,0.008644429687500028,0.001416931445889705
7,2400000000.0,0.008071312500000026,0.0017092528381279525
7,2500000000.0,0.007962382812500024,0.0018640706149465882
7,2600000000.0,0.007731335937500024,0.0018884552435062107
7,2700000000.0,0.008124476562500028,0.0017875339746791803
7,2800000000.0,0.007835898437500023,0.0019934905186473908
8,600000000.0,0.00873118750000003,0.0008294231105347071
8,700000000.0,0.008724898437500028,0.000948292981260598
8,800000000.0,0.00891911718750003,0.0007635289584540684
8,900000000.0,0.00891018750000003,0.000700862609546937
8,1000000000.0,0.009019781250000032,0.0007030702138378085
8,1100000000.0,0.00912425781250003,0.0007298586387152848
8,1200000000.0,0.009430500000000031,0.0007137897704687182
8,1300000000.0,0.009314945312500031,0.0006074049651484708
8,1400000000.0,0.009488632812500031,0.0008819973378044003
8,1500000000.0,0.009709585937500034,0.0007051042269666479
8,1600000000.0,0.009637101562500033,0.0007195597807098041
8,1700000000.0,0.010026164062500034,0.0007328011684141906
8,1800000000.0,0.009811710937500032,0.0005993009894571825
8,1900000000.0,0.009776031250000032,0.0009009864987326082
8,2000000000.0,0.009434335937500031,0.0008030379662760453
8,2100000000.0,0.00938315625000003,0.0008897714544819608
8,2200000000.0,0.00877700000000003,0.0014537946219237406
8,2300000000.0,0.008525921875000028,0.0015704367658387476
8,2400000000.0,0.008431148437500029,0.0014748634472965298
8,2500000000.0,0.008309250000000027,0.0018405047701872596
9,500000000.0,0.008420156250000026,0.000824071010159417
9,600000000.0,0.00873921093750003,0.0009481296780575863
9,700000000.0,0.00880947656250003,0.0008190163320326625
9,800000000.0,0.008942835937500027,0.000809387352516445
9,900000000.0,0.00902932812500003,0.0005066022045956516
9,1000000000.0,0.00897004687500003,0.0007286499014993983
9,1100000000.0,0.009139382812500029,0.0006565329941813542
9,1200000000.0,0.009386562500000032,0.0007464116551117911
9,1300000000.0,0.009425664062500031,0.0005041751145004535
9,1400000000.0,0.00947857812500003,0.0005469253233542717
9,1500000000.0,0.009668203125000033,0.0005744871024733326
9,1600000000.0,0.009561132812500032,0.0006805788190883576
9,1700000000.0,0.009912851562500035,0.0006179665906943179
9,1800000000.0,0.009765273437500032,0.0005889988399682034
9,1900000000.0,0.009653539062500032,0.0007680247901650767
9,2000000000.0,0.009547250000000031,0.0007584032529865819
9,2100000000.0,0.00918089843750003,0.0013293489506173081
9,2200000000.0,0.008900218750000029,0.001306844189953959
10,500000000.0,0.00937468750000003,0.0005413475572443068
10,600000000.0,0.009519093750000032,0.0006736006755617093
10,700000000.0,0.009627523437500033,0.0006584341059383215
10,800000000.0,0.009791523437500033,0.0007302568657854987
10,900000000.0,0.009708945312500033,0.0006353840629175956
10,1000000000.0,0.00958667187500003,0.0007347856300439913
10,1100000000.0,0.00943883593750003,0.0009482856350757009
10,1200000000.0,0.00891649218750003,0.001200408448426706
10,1300000000.0,0.008132546875000028,0.0020161516911794443
10,1400000000.0,0.007873835937500026,0.0019974896155783373
10,1500000000.0,0.007452046875000023,0.00224859148561705
10,1600000000.0,0.007813640625000026,0.00219275004314423
10,1700000000.0,0.007585289062500024,0.0024596474819645834
10,1800000000.0,0.006875968750000021,0.0024180821664636573
10,1900000000.0,0.0069679218750000205,0.002392492779906418
10,2000000000.0,0.007050960937500024,0.0023101983553584994
11,400000000.0,0.00895566406250003,0.0005618747759554466
11,500000000.0,0.009423617187500032,0.0005601652485221287
11,600000000.0,0.00956594531250003,0.0007430478163025688
11,700000000.0,0.009778000000000031,0.0007809593109199126
11,800000000.0,0.009978734375000034,0.0007606242904872952
11,900000000.0,0.009997046875000033,0.0006899528206880484
11,1000000000.0,0.009750914062500032,0.0007886337793780326
11,1100000000.0,0.00939967968750003,0.0009310471484643418
11,1200000000.0,0.008971664062500028,0.0014319008731524274
11,1300000000.0,0.008214734375000027,0.0018128266543604747
11,1400000000.0,0.008081117187500025,0.0019649255607191614
11,1500000000.0,0.007638382812500024,0.0020888722585843153
11,1600000000.0,0.0072667656250000245,0.0022970500449349352
11,1700000000.0,0.007098882812500024,0.0024363893985676183
11,1800000000.0,0.0068873671875000235,0.0023743717175112923
11,1900000000.0,0.007138625000000022,0.0023249314698191663
12,400000000.0,0.00909799218750003,0.0007340943467625503
12,500000000.0,0.00929882031250003,0.0007072213530255554
12,600000000.0,0.00951711718750003,0.0006501722380630787
12,700000000.0,0.009774375000000031,0.0007668821311811906
12,800000000.0,0.010026828125000033,0.0007164275847082267
12,900000000.0,0.010067390625000032,0.0007745849176673521
12,1000000000.0,0.010086343750000034,0.0006864681752740369
12,1100000000.0,0.010241835937500032,0.0007093178182401402
12,1200000000.0,0.010116570312500033,0.0006195716736398286
12,1300000000.0,0.010643742187500036,0.0007847219064088593
12,1400000000.0,0.010285289062500034,0.0008005788620387541
12,1500000000.0,0.010098523437500036,0.0007312723679054308
12,1600000000.0,0.010437062500000033,0.0008608914200463268
12,1700000000.0,0.010010109375000034,0.0008313541392415088
13,400000000.0,0.008995265625000028,0.0008153574215358082
13,500000000.0,0.009346445312500031,0.0005982520557054229
13,600000000.0,0.009605703125000031,0.0005629222319370475
13,700000000.0,0.009798593750000034,0.0006468940780701201
13,800000000.0,0.009988625000000034,0.0006462212155098308
13,900000000.0,0.010064968750000035,0.0005371820998492407
13,1000000000.0,0.009940218750000033,0.000602754272800209
13,1100000000.0,0.010168531250000034,0.0006295691002210382
13,1200000000.0,0.010075046875000033,0.0005162372291001359
13,1300000000.0,0.010613718750000039,0.000836290589273272
13,1400000000.0,0.010097890625000034,0.0006464088890975275
13,1500000000.0,0.009975101562500033,0.0007162880530136886
13,1600000000.0,0.010207062500000036,0.0008299008591603945
14,300000000.0,0.009292562500000032,0.0012576504383174255
14,400000000.0,0.009887585937500033,0.0013844859131950259
14,500000000.0,0.010228445312500035,0.0010963389509626841
14,600000000.0,0.010432953125000035,0.0012108225821479642
14,700000000.0,0.010630632812500035,0.0011518142231183148
14,800000000.0,0.010303687500000037,0.0010976063883248015
14,900000000.0,0.010403710937500038,0.000979208685916203
14,1000000000.0,0.009995054687500032,0.0010661831443300098
14,1100000000.0,0.009736312500000033,0.0010822043661153247
14,1200000000.0,0.00914764843750003,0.001658791131739561
14,1300000000.0,0.008762398437500029,0.0018362537880979924
14,1400000000.0,0.0076955625000000236,0.002157494355846116
14,1500000000.0,0.008227726562500027,0.0020560686348320596
15,300000000.0,0.009119367187500031,0.0010715114765700814
15,400000000.0,0.009929226562500034,0.0015087817969889846
15,500000000.0,0.010306843750000037,0.0012459720116865635
15,600000000.0,0.010615320312500036,0.0012914779826143567
15,700000000.0,0.01073010937500004,0.0012099616906020702
15,800000000.0,0.010361851562500033,0.0010320958951117623
15,900000000.0,0.010812695312500039,0.0012976229365032695
15,1000000000.0,0.010213187500000033,0.0013845169901082657
15,1100000000.0,0.010149023437500033,0.0012653879522173078
15,1200000000.0,0.00945760156250003,0.0017114383608177195
15,1300000000.0,0.008840343750000028,0.0021409996892651872
15,1400000000.0,0.008610820312500028,0.002316324003533034
16,300000000.0,0.00921415625000003,0.0007449902202194743
16,400000000.0,0.009669453125000031,0.0006546598713218522
16,500000000.0,0.009831718750000032,0.0006321925686431781
16,600000000.0,0.010027273437500032,0.0007917282484058122
16,700000000.0,0.010341484375000034,0.0009978191215183172
16,800000000.0,0.010005429687500034,0.0009116227614891715
16,900000000.0,0.010145359375000034,0.0008600331273995297
16,1000000000.0,0.009720054687500033,0.0011704564959341814
16,1100000000.0,0.009667468750000031,0.001149993686930706
16,1200000000.0,0.010046265625000033,0.0010528932224776934
16,1300000000.0,0.010132750000000032,0.0013910162883493276
17,300000000.0,0.009191835937500031,0.0008096540178379158
17,400000000.0,0.009569960937500031,0.0007145410251678718
17,500000000.0,0.009817625000000035,0.0006898110952775203
17,600000000.0,0.009974781250000035,0.0007006843324146828
17,700000000.0,0.010233679687500035,0.0007349316116591542
17,800000000.0,0.009846835937500034,0.0009886757758405407
17,900000000.0,0.010283593750000033,0.001017815828162739
17,1000000000.0,0.009907789062500031,0.0010657587517726463
17,1100000000.0,0.009644101562500033,0.0011562120896181677
17,1200000000.0,0.010186054687500036,0.001341459209127669
18,300000000.0,0.009768140625000034,0.00026552929296015947
18,400000000.0,0.009918234375000034,0.000262871161983841
18,500000000.0,0.009970132812500034,0.00024034563874140137
18,600000000.0,0.009978179687500031,0.000202903071522108
18,700000000.0,0.009984500000000033,0.00019290986955943377
18,800000000.0,0.009954757812500034,0.00015054097983235973
18,900000000.0,0.009880976562500034,0.00015391348234117374
18,1000000000.0,0.009909585937500031,0.00014959425327462669
18,1100000000.0,0.009962882812500035,0.00019581078609881772
18,1200000000.0,0.009897648437500035,0.00020443031597430875
19,300000000.0,0.009738875000000034,0.0002793972420187012
19,400000000.0,0.009939359375000033,0.00029607135840465645
19,500000000.0,0.010098351562500031,0.000266169247010619
19,600000000.0,0.010089125000000034,0.00023044130345044005
19,700000000.0,0.010079328125000033,0.00027185282820871775
19,800000000.0,0.009989609375000033,0.0002829839884942981
19,900000000.0,0.009958320312500034,0.0002951766051204766
19,1000000000.0,0.009990101562500034,0.000247252210215689
19,1100000000.0,0.010030929687500032,0.00031040322139287615
20,300000000.0,0.009866234375000033,6.401213530883755e-05
20,400000000.0,0.009933640625000031,4.479265654187202e-05
20,500000000.0,0.009935960937500033,3.171633592260392e-05
20,600000000.0,0.009959773437500034,2.3164686964601033e-05
20,700000000.0,0.009885804687500034,0.00011923887112108454
20,800000000.0,0.009827492187500033,0.00025053070367499333
20,900000000.0,0.009843250000000033,0.00024462180132521787
20,1000000000.0,0.009816875000000032,0.00041817259923852937
21,200000000.0,0.00956846093750003,0.0002604557129451418
21,300000000.0,0.009866164062500033,7.2719872597561e-05
21,400000000.0,0.009937476562500033,4.4753891759675045e-05
21,500000000.0,0.009930484375000034,3.9157381642665866e-05
21,600000000.0,0.009957859375000032,3.340496007214887e-05
21,700000000.0,0.009852187500000033,0.00012125000000000045
21,800000000.0,0.009826945312500031,0.00034442062592986427
21,900000000.0,0.009870562500000032,0.00021708922799198644
21,1000000000.0,0.009813625000000032,0.0007046969868402467
22,200000000.0,0.009626187500000032,0.0005203235438955587
22,300000000.0,0.009844984375000034,0.00046862966137610815
22,400000000.0,0.010163765625000034,0.0003722758111145772
22,500000000.0,0.010136921875000033,0.0004185399662745983
22,600000000.0,0.010430617187500036,0.00040705348270314915
22,700000000.0,0.010268296875000034,0.00048800890129601363
22,800000000.0,0.010569695312500037,0.0006814148784046575
22,900000000.0,0.010244843750000034,0.0004760739042466926
23,200000000.0,0.009645148437500032,0.0005030825061514338
23,300000000.0,0.009920562500000034,0.00045422557453163624
23,400000000.0,0.010188328125000035,0.000450681190422223
23,500000000.0,0.010268187500000034,0.0004064169290455859
23,600000000.0,0.010396093750000035,0.00046061082173735776
23,700000000.0,0.010475875000000037,0.0005757481151422433
23,800000000.0,0.01068483593750004,0.0006969076776864103
23,900000000.0,0.010354125000000033,0.000539885570467688
24,200000000.0,0.009632945312500033,0.0011260067059061486
24,300000000.0,0.010054164062500032,0.0008406384035220371
24,400000000.0,0.010395000000000036,0.0009764888222206551
24,500000000.0,0.010263382812500032,0.0009569750663036432
24,600000000.0,0.010792570312500036,0.0013534983810003685
24,700000000.0,0.010696492187500035,0.001230347595697169
24,800000000.0,0.010892546875000037,0.0015027184043536635
24,900000000.0,0.01067701562500004,0.0013293406990278341
25,200000000.0,0.00943179687500003,0.0009009935345857043
25,300000000.0,0.010081179687500035,0.0007277563871721278
25,400000000.0,0.010256750000000035,0.0007446358917807609
25,500000000.0,0.010245351562500036,0.0009202496621095819
25,600000000.0,0.010563703125000037,0.0011517961115018202
25,700000000.0,0.010491000000000037,0.0010814499650263426
25,800000000.0,0.010985664062500037,0.001422033964220955
26,200000000.0,0.009807398437500033,0.0002665014367843181
26,300000000.0,0.009943406250000031,0.00029069022957490853
26,400000000.0,0.010013921875000033,0.0001890618988885079
26,500000000.0,0.009895148437500034,0.00034096578951076583
26,600000000.0,0.009993640625000034,0.00016185991800517137
26,700000000.0,0.009847109375000032,0.00024685315617364704
26,800000000.0,0.009904265625000033,0.0003517790204774123
27,200000000.0,0.009845593750000032,0.00029210469498457543
27,300000000.0,0.009992242187500033,0.00027525975957574993
27,400000000.0,0.010084531250000034,0.00024506665627054474
27,500000000.0,0.009903539062500032,0.0003429759476572482
27,600000000.0,0.010077945312500034,0.0002743718379435896
27,700000000.0,0.009978445312500034,0.0004145388341365925
27,800000000.0,0.009869390625000031,0.0007142735975918479
28,200000000.0,0.010105890625000034,0.000875468780814968
28,300000000.0,0.010534820312500033,0.0008436762500682385
28,400000000.0,0.010876078125000037,0.000916469538921775
28,500000000.0,0.010549585937500034,0.000957272714787213
28,600000000.0,0.010519210937500034,0.0008651475873163847
28,700000000.0,0.010761445312500038,0.001039712158130867
29,200000000.0,0.009955046875000033,0.0009389158931679488
29,300000000.0,0.010381203125000033,0.0007676583475889853
29,400000000.0,0.010851390625000037,0.0008977790085501922
29,500000000.0,0.010368625000000038,0.0009925175799371934
29,600000000.0,0.010637531250000033,0.0010214688838452548
29,700000000.0,0.010756234375000038,0.001031343313604925
30,200000000.0,0.010089632812500034,0.0005552981218132809
30,300000000.0,0.010564968750000037,0.0006351953278261659
30,400000000.0,0.010947835937500039,0.0008391289462095234
30,500000000.0,0.010683421875000036,0.0008113821079176153
30,600000000.0,0.010694125000000037,0.0010108161724431716
30,700000000.0,0.010901890625000035,0.001049344813838657
